STT_JSON,MaKho,TenKho,MaThan,TenThan,TonCK,Keys
"36","17","Kho 17","Cám 2a.1","Cám 2a.1","19210.6","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"37","18","Kho 18","Cám 3b.1","Cám 3b.1","14983.58","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"38","19","Kho 19","Cám 3b.1","Cám 3b.1","15242.09","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"39","20","Kho 20","Cám 4a.1","Cám 4a.1","69548.93","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"40","20","Kho 20","Cám 4b.1","Cám 4b.1","1410","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"41","21","Kho 21","Cám 5a.1","Cám 5a.1","2868.32","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"42","21","Kho 21","Cám 5b.1","Cám 5b.1","-258.56","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"43","21","Kho 21","Cám 6a.1","Cám 6a.1","7842.49","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"44","23","Kho 23","Cám 3b.1","Cám 3b.1","21824.66","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"45","24","Kho 24","Cám 6a.1","Cám 6a.1","4972","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"46","25","Kho 25","Cám 1","Cám 1","17171.72","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"47","29","Kho 26","Bùn tuyển 3A","Bùn tuyển 3A","19031.98","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"48","30b","Kho 27","Cám 6b.1","Cám 6b.1","667.72","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"49","30B","Kho 27","Bùn tuyển 3A","Bùn tuyển 3A","1100.09","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"50","31c","Kho 28","Cám 6b.1","Cám 6b.1","19353.24","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"51","31D","Kho 28-1","Cám 6b.1","Cám 6b.1","18862.94","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"52","26","Kho 29","Cám 1","Cám 1","18990.4","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"53","27","Kho 30","Cám 1","Cám 1","22274.7","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
